lat,lon
-22.7616367,-43.6869614
-22.7616367,-43.6869614
-22.8258047,-43.2921933
-22.8254999,-43.2922362
-22.8852201,-43.4598936
-22.874419,-43.5342542
-22.8220869,-43.3043404
-22.8267533,-43.2933723
-22.8751755,-43.5188364
-22.9089626,-43.6792135
-22.7578354,-43.4435565
-22.933083,-43.180419
-22.7569823,-43.4419832
-22.748469,-43.4708906
-22.7605216,-43.459697
-22.7605216,-43.459697
-22.7554008,-43.4436207
-22.9414859,-43.2538517
-22.9252103,-43.1783607
-22.9398804,-43.2537363
-22.9170255,-43.2597123
-22.7755201,-43.4368835
-22.9165941,-43.197759
-22.7987415,-43.3685492
-22.7987415,-43.3685492
-22.9284093,-43.2366404
-22.8864531,-43.709455
-22.8729159,-43.3356783
-22.4632,-44.4380978
-21.7205039,-41.303063
-21.7203584,-41.3045627
-22.7237909,-43.507004
-22.9017973,-43.3557042
-22.8885118,-43.7190392
-22.9067334,-43.3018284
-22.9123823,-43.2641635
-22.9123823,-43.2641635
-22.8755126,-43.3126854
-22.8755126,-43.3126854
-22.8755126,-43.3126854
-22.8755126,-43.3126854
-22.8755126,-43.3126854
-22.8848656,-43.3139817
-22.9132133,-43.249434
-22.8867563,-43.3135986
-22.8878292,-43.3139281
-22.8878292,-43.3139281
-22.9204291,-43.2436868
-22.8760263,-43.3163314
-22.8760263,-43.3163314
-22.7929014,-43.1866977
-22.8803717,-43.3153177
-22.8266834,-43.3484052
-22.8965408,-43.3521891
-22.8418482,-43.3044623
-22.8975137,-43.3508848
-22.8296895,-43.4129572
-22.859496,-43.2578976
-22.8522378,-43.2698395
-22.8307129,-43.4121731
-22.8766401,-43.2609346
-22.8626038,-43.2563374
-22.8550366,-43.2666444
-22.8684904,-43.3462017
-22.9169661,-43.3576307
-22.8270207,-43.3168015
-22.863121,-43.2514796
-22.9493675,-43.1927649
-22.9493675,-43.1927649
-22.9374286,-43.1762154
-22.9503847,-43.1863188
-22.9494455,-43.1865848
-22.8956365,-43.2851599
-22.93172,-43.2342716
-22.8111803,-43.1790956
-22.953976,-43.3385186
-22.867897,-43.3616035
-22.82645,-43.3498795
-22.8304504,-43.3523397
-22.8304504,-43.3523397
-22.8293893,-43.3537008
-22.8292104,-43.3537783
-22.8442448,-43.3232311
-22.8811241,-43.2743274
-22.9423751,-43.329839
-22.9423751,-43.329839
-22.8299925,-43.351647
-22.9549729,-43.3457654
-22.9549729,-43.3457654
-22.8301712,-43.3515645
-22.8425596,-43.3519269
-22.8890955,-43.3192852
-22.8900931,-43.3183175
-22.8902243,-43.3183677
-22.8484261,-43.3192432
-22.8484261,-43.3192432
-22.8472753,-43.3200157
-22.7700916,-43.2880702
-22.8016208,-43.3743133
-22.7760324,-43.2873223
-22.8409609,-43.2744972
-22.7235324,-43.5757885
-22.8021525,-43.3771245
-22.7939217,-43.3776759
-22.7939094,-43.3777019
-22.8525559,-43.2587815
-22.7203946,-43.566101
-22.7203946,-43.566101
-22.7984194,-43.399382
-22.7984194,-43.399382
-22.7836092,-43.3379152
-22.7734118,-43.28769
-22.7734118,-43.28769
-22.7472537,-43.4886681
-22.7472537,-43.4886681
-22.768241,-43.2932547
-22.7602486,-43.2769284
-22.7162194,-43.5679032
-22.7162194,-43.5679032
-22.7040662,-43.5280938
-22.8063848,-43.3940049
-22.8065815,-43.3866075
-22.7642128,-43.2790966
-22.8512562,-43.2609596
-22.7763726,-43.2980709
-22.7628922,-43.3201885
-22.8089218,-43.3859967
-22.7046795,-43.5249081
-22.7035083,-43.5262067
-22.8022182,-43.3732006
-22.795918,-43.3884059
-22.8057219,-43.3924746
-22.7633544,-43.2811577
-22.7633544,-43.2811577
-22.736445,-43.4116607
-22.0703954,-43.2080034
-22.0703954,-43.2080034
-22.5060965,-44.0689873
-22.5060965,-44.0689873
-22.5068887,-44.0685986
-22.5068887,-44.0685986
-22.7754974,-43.3018273
-22.7753095,-43.3017567
-22.7753095,-43.3017567
-22.7657121,-43.3421391
-22.5543533,-43.7453634
-22.5366531,-44.0881211
-22.5209778,-44.1948398
-22.727478,-43.4096747
-22.7827493,-43.303615
-22.7322249,-43.4114824
-22.7293418,-43.5236543
-22.7946254,-43.2887887
-22.751572,-43.4317444
-22.7360132,-43.4090722
-22.763301,-43.3413542
-22.5307834,-43.7453634
-22.719421,-43.4000281
-22.7364009,-43.5247103
-22.7835434,-43.3068309
-22.7835434,-43.3068309
-22.763505,-43.3451561
-22.7123546,-43.5219898
-22.7166537,-43.5253784
-22.7236109,-43.4007894
-22.705933,-43.4201594
-22.7050236,-43.4191872
-22.7822011,-43.3028161
-22.7638271,-43.354809
-22.730884,-43.4009935
-22.7200853,-43.5185823
-22.7796912,-43.3050945
-22.7430278,-43.4329696
-22.7103392,-43.5762996
-22.7274924,-43.407867
-22.7324567,-43.4072642
-22.7293631,-43.4024203
-22.9096779,-43.3874342
-22.9219367,-43.3637022
-22.8408694,-43.268243
-22.8408694,-43.268243
-22.8189445,-43.399042
-22.8189445,-43.399042
-22.8189445,-43.399042
-22.8734407,-43.3637664
-22.8734407,-43.3637664
-22.8225377,-43.3980634
-22.8317264,-43.3188392
-22.8209764,-43.3980439
-22.8582728,-43.2564141
-22.8677224,-43.360353
-22.9166256,-43.374012
-22.9166256,-43.374012
-22.8721474,-43.3609599
-22.8721474,-43.3609599
-22.8406891,-43.2589737
-22.8209624,-43.3923361
-22.8347308,-43.3858243
-22.910612,-43.3878779
-22.8278235,-43.3947085
-22.854279,-43.249986
-22.8823941,-43.4801963
-22.913239,-43.5354564
-22.913239,-43.5354564
-22.7496915,-43.4504063
-22.7449736,-43.4530422
-22.8638193,-43.4432473
-22.9176931,-43.6431489
-22.8984151,-43.2364574
-22.912769,-43.5414667
-22.7440169,-43.4655104
-22.8660932,-43.7651742
-22.7509324,-43.4525649
-22.864561,-43.4632425
-22.748324,-43.4578583
-22.9109875,-43.5631422
-22.8711765,-43.7710816
-22.8168841,-43.2965468
-22.8168841,-43.2965468
-22.7749612,-43.5251872
-22.8169732,-43.2967616
-22.8169644,-43.2967556
-22.8169644,-43.2967556
-22.8159725,-43.2960032
-22.9031252,-43.56043
-22.754624,-43.4464146
-22.8816688,-43.4734506
-22.8816688,-43.4734506
-22.9152257,-43.6375315
-22.753757,-43.448677
-22.723298,-43.4114826
-22.723298,-43.4114826
-22.6925624,-43.4612902
-22.6925624,-43.4612902
-22.9158412,-43.635732
-22.8655071,-43.7735018
-22.7498964,-43.4486794
-22.8145507,-43.2949149
-22.8145507,-43.2949149
-22.8145507,-43.2949149
-22.8882314,-43.2343674
-22.8882314,-43.2343674
-22.749383,-43.447498
-22.873342,-43.4295455
-22.7783344,-43.2979338
-22.7783344,-43.2979338
-22.7671902,-43.5239205
-22.7671902,-43.5239205
-22.803456,-43.3657671
-22.7786549,-43.3373117
-22.7185564,-43.5516824
-22.8151244,-43.4320023
-22.7796157,-43.3015013
