lat,lon
-22.353393,-43.8757822
-22.7566545,-43.3079371
-22.7975384,-43.3699468
-22.8154005,-43.4277489
-22.1093297,-43.1989261
-22.7797548,-43.3082977
-22.7821662,-43.394005
-22.7854815,-43.3771244
-22.7812692,-43.3825508
-22.9697315,-43.1863829
-22.9093461,-43.1696459
-22.9101215,-43.1740257
-22.9247721,-43.1898725
-22.9706709,-43.1847903
-22.9061685,-43.1796854
-22.9145112,-43.1839788
-22.9145112,-43.1839788
-22.9272833,-43.1930995
-22.914566,-43.1847942
-22.9078326,-43.1766503
-22.9123641,-43.1986695
-22.8724916,-43.431435
-22.9725852,-43.186834
-22.974383,-43.1882016
-22.9078326,-43.1766503
-22.8963371,-43.4861447
-22.9078326,-43.1766503
-22.9837751,-43.2329926
-22.9124397,-43.1840775
-22.9876758,-43.2296054
-21.7345954,-41.318222
-21.7345954,-41.318222
-22.9772837,-43.2344908
-22.5303498,-44.1781442
-22.5296195,-44.153966
-22.9868918,-43.302672
-22.5094332,-44.1927856
-22.987083,-43.2318699
-22.5338734,-44.173452
-22.9117106,-43.1889347
-22.5222055,-44.0998002
-22.9804191,-43.6471276
-22.8262091,-43.2990589
-22.7531017,-43.448824
-22.8244349,-43.3016541
-22.7804325,-43.4260336
-22.8252106,-43.3034832
-22.8774318,-43.4260293
-22.901558,-43.2237316
-22.901558,-43.2237316
-22.8852296,-43.4271468
-22.8890887,-43.4391459
-22.9216671,-43.6948672
-22.9221294,-43.6910134
-22.8202818,-43.2999439
-22.9535268,-43.5722451
-22.7813593,-43.4208621
-22.918681,-43.6853929
-22.7833151,-43.4232059
-22.7413914,-43.7052531
-22.8392708,-43.2978922
-22.8392708,-43.2978922
-22.8772754,-43.4378797
-22.8531569,-43.4919045
-22.7354303,-43.4693429
-22.8357815,-43.3041731
-22.6864202,-43.578714
-22.7913672,-43.3367082
-22.7186764,-43.394005
-22.8147153,-43.4235314
-22.8141797,-43.4204683
-22.7658027,-43.3560154
-22.5314115,-44.0759891
-22.8102188,-43.4208416
-22.7884806,-43.3009349
-22.7885132,-43.3008388
-22.7905899,-43.3053238
-22.5638436,-44.0732825
-22.735112,-43.3976214
-22.8170222,-43.429867
-22.5349879,-44.0763823
-22.5316783,-44.0760041
-22.8611845,-43.4523296
-22.8123971,-43.4255605
-22.8179735,-43.4252796
-22.8178707,-43.4247706
-22.7863601,-43.3081014
-22.8145494,-43.4306208
-22.7863274,-43.3064951
-22.7364628,-43.404251
-22.7176857,-43.5190256
-22.7364628,-43.404251
-22.5194162,-44.138125
-22.8114389,-43.4271468
-22.7943591,-43.3004822
-22.7375866,-43.3987063
-22.7909589,-43.2986176
-22.7841683,-43.317994
-22.7725154,-43.3538152
-22.7875124,-43.3039496
-22.7869376,-43.3040173
-22.7749676,-43.3517927
-22.960399,-43.2184627
-22.9782123,-43.1891507
-22.9740395,-43.1902374
-22.978767,-43.1916236
-22.9772018,-43.1943713
-22.9813903,-43.1933008
-22.9774102,-43.1942028
-22.0861029,-43.2176829
-22.0922626,-43.2188927
-22.9009856,-43.1890872
-22.8990812,-43.1894743
-22.5503308,-44.136475
-22.5114529,-44.1896624
-22.5114529,-44.1896624
-22.5114529,-44.1896624
-22.8087114,-43.1837458
-22.9339985,-43.1815379
-22.8100839,-43.1805046
-22.9081895,-43.291208
-22.9335444,-43.1829345
-22.9344625,-43.1821443
-22.9394981,-43.1782778
-22.9022762,-43.2923663
-22.9074126,-43.28239
-22.8866119,-43.3633147
-22.8288832,-43.3286212
-22.8533333,-43.3054722
-22.8612059,-43.3691614
-22.8610914,-43.3694014
-22.8265282,-43.3282175
-22.8647473,-43.3556785
-22.9163979,-43.3782023
-22.8205929,-43.399435
-22.8269148,-43.3286022
-22.9409962,-43.3662692
-22.9409962,-43.3662692
-22.8483322,-43.3105141
-22.8487783,-43.3788387
-22.8264316,-43.3165706
-22.8756501,-43.2699062
-22.8483906,-43.3777274
-22.9028576,-43.2934127
-22.9028576,-43.2934127
-22.8644263,-43.3486035
-22.9179678,-43.3867711
-22.81352,-43.377407
-22.8853863,-43.3032044
-22.8594555,-43.3508791
-22.8802188,-43.370082
-22.8777587,-43.3697208
-22.8802091,-43.3713843
-22.8255803,-43.3300423
-22.8772556,-43.2781363
-22.8886289,-43.3132326
-22.8942162,-43.3119671
-22.8235237,-43.2907831
-22.9022307,-43.2301319
-22.8846743,-43.4663272
-22.8784996,-43.4516679
-22.882381,-43.5830209
-22.8238073,-43.3120899
-22.9149785,-43.6856656
-22.8795246,-43.4620469
-22.8221038,-43.3125928
-22.8789101,-43.4036484
-22.8789101,-43.4036484
-22.8416181,-43.2991795
-22.8836112,-43.4585671
-22.8460704,-43.2511224
-22.8829576,-43.458729
-22.8832307,-43.4587259
-22.8833872,-43.4587652
-22.8265244,-43.3135054
-22.7413914,-43.7052531
-22.8720626,-43.4149464
-22.8261011,-43.2844365
-22.8752635,-43.4248025
-22.8483311,-43.2520502
-22.8464613,-43.2528177
-22.8479358,-43.2628629
-22.8257381,-43.2939892
-22.8759471,-43.4235324
-22.8745702,-43.4223275
-22.8791634,-43.5148184
-22.843251,-43.25405
-22.7543994,-43.4425816
-22.7776158,-43.4308284
-22.9322199,-43.1758269
-22.7747269,-43.4283166
-22.7569823,-43.4419832
-22.9282056,-43.2558316
-22.7661839,-43.4307609
-22.7766642,-43.4269581
-22.7405898,-43.4282096
-22.9372807,-43.2480039
-22.7784204,-43.4269252
-22.7431041,-43.428992
-22.9392368,-43.2510616
-22.7609642,-43.4475626
-22.7582008,-43.398052
-22.8807938,-43.3002178
-22.8652089,-43.3383734
-22.7927627,-43.1710836
-22.7927627,-43.1710836
-22.7937488,-43.1835075
-22.7937488,-43.1835075
-22.8737286,-43.3321557
-22.7909253,-43.1783484
-22.883905,-43.3187853
-22.8840103,-43.3184719
-22.873762,-43.3339653
-22.9076429,-43.3012743
-22.9016702,-43.3558526
-22.9107681,-43.2870697
-22.8761306,-43.2682146
-22.8885118,-43.7190392
-22.8813063,-43.3276785
